sample_id,image_id,part_group_id,object_group_id,image_path,part_family,part_category,text_category,description,label,source
train_dataset_v2_air_filter_001_match_1,dataset_v2_air_filter_001,external_group_dataset_v2_air_filter_001,dataset_v2_object_air_filter_001,data/images/dataset_v2/air_filter/dataset_v2_air_filter_001.jpg,filtration,air_filter,air_filter,"Automotive component: engine air filter, used in the air-intake and filtration system.",MATCH,dataset_v2
train_dataset_v2_air_filter_001_partial_match_1,dataset_v2_air_filter_001,external_group_dataset_v2_air_filter_001,dataset_v2_object_air_filter_001,data/images/dataset_v2/air_filter/dataset_v2_air_filter_001.jpg,filtration,air_filter,oil_filter,"Automotive component: engine oil filter, used in the engine lubrication and filtration system.",PARTIAL_MATCH,dataset_v2
train_dataset_v2_air_filter_001_mismatch_1,dataset_v2_air_filter_001,external_group_dataset_v2_air_filter_001,dataset_v2_object_air_filter_001,data/images/dataset_v2/air_filter/dataset_v2_air_filter_001.jpg,filtration,air_filter,alternator,"Automotive component: automotive alternator, used in the vehicle charging and electrical system.",MISMATCH,dataset_v2
train_dataset_v2_air_filter_001_match_2,dataset_v2_air_filter_001,external_group_dataset_v2_air_filter_001,dataset_v2_object_air_filter_001,data/images/dataset_v2/air_filter/dataset_v2_air_filter_001.jpg,filtration,air_filter,air_filter,"Vehicle component identified as engine air filter, designed to remove dust and particles from the air entering the engine.",MATCH,dataset_v2
train_dataset_v2_air_filter_001_partial_match_2,dataset_v2_air_filter_001,external_group_dataset_v2_air_filter_001,dataset_v2_object_air_filter_001,data/images/dataset_v2/air_filter/dataset_v2_air_filter_001.jpg,filtration,air_filter,oil_filter,"Vehicle component identified as engine oil filter, designed to trap contaminants circulating in the engine lubricant.",PARTIAL_MATCH,dataset_v2
train_dataset_v2_air_filter_001_mismatch_2,dataset_v2_air_filter_001,external_group_dataset_v2_air_filter_001,dataset_v2_object_air_filter_001,data/images/dataset_v2/air_filter/dataset_v2_air_filter_001.jpg,filtration,air_filter,brake_pad,"Vehicle component identified as automotive brake pad, designed to press friction material against a brake disc to slow the vehicle.",MISMATCH,dataset_v2
train_dataset_v2_air_filter_002_match_1,dataset_v2_air_filter_002,external_group_dataset_v2_air_filter_002,dataset_v2_object_air_filter_002,data/images/dataset_v2/air_filter/dataset_v2_air_filter_002.jpg,filtration,air_filter,air_filter,"Vehicle component identified as engine air filter, designed to remove dust and particles from the air entering the engine.",MATCH,dataset_v2
train_dataset_v2_air_filter_002_partial_match_1,dataset_v2_air_filter_002,external_group_dataset_v2_air_filter_002,dataset_v2_object_air_filter_002,data/images/dataset_v2/air_filter/dataset_v2_air_filter_002.jpg,filtration,air_filter,oil_filter,"Vehicle component identified as engine oil filter, designed to trap contaminants circulating in the engine lubricant.",PARTIAL_MATCH,dataset_v2
train_dataset_v2_air_filter_002_mismatch_1,dataset_v2_air_filter_002,external_group_dataset_v2_air_filter_002,dataset_v2_object_air_filter_002,data/images/dataset_v2/air_filter/dataset_v2_air_filter_002.jpg,filtration,air_filter,brake_disc,"Vehicle component identified as brake disc or rotor, designed to provide the rotating friction surface clamped by the brake pads.",MISMATCH,dataset_v2
train_dataset_v2_air_filter_002_match_2,dataset_v2_air_filter_002,external_group_dataset_v2_air_filter_002,dataset_v2_object_air_filter_002,data/images/dataset_v2/air_filter/dataset_v2_air_filter_002.jpg,filtration,air_filter,air_filter,"This component is the engine air filter, with pleated filtering media inside a rigid frame or housing.",MATCH,dataset_v2
train_dataset_v2_air_filter_002_partial_match_2,dataset_v2_air_filter_002,external_group_dataset_v2_air_filter_002,dataset_v2_object_air_filter_002,data/images/dataset_v2/air_filter/dataset_v2_air_filter_002.jpg,filtration,air_filter,oil_filter,"This component is the engine oil filter, with a replaceable canister or cartridge containing filtering media.",PARTIAL_MATCH,dataset_v2
train_dataset_v2_air_filter_002_mismatch_2,dataset_v2_air_filter_002,external_group_dataset_v2_air_filter_002,dataset_v2_object_air_filter_002,data/images/dataset_v2/air_filter/dataset_v2_air_filter_002.jpg,filtration,air_filter,shock_absorber,"This component is the suspension shock absorber, with a telescopic hydraulic damper with a cylindrical body and piston rod.",MISMATCH,dataset_v2
train_dataset_v2_air_filter_003_match_1,dataset_v2_air_filter_003,external_group_dataset_v2_air_filter_003,dataset_v2_object_air_filter_003,data/images/dataset_v2/air_filter/dataset_v2_air_filter_003.jpg,filtration,air_filter,air_filter,"This component is the engine air filter, with pleated filtering media inside a rigid frame or housing.",MATCH,dataset_v2
train_dataset_v2_air_filter_003_partial_match_1,dataset_v2_air_filter_003,external_group_dataset_v2_air_filter_003,dataset_v2_object_air_filter_003,data/images/dataset_v2/air_filter/dataset_v2_air_filter_003.jpg,filtration,air_filter,oil_filter,"This component is the engine oil filter, with a replaceable canister or cartridge containing filtering media.",PARTIAL_MATCH,dataset_v2
train_dataset_v2_air_filter_003_mismatch_1,dataset_v2_air_filter_003,external_group_dataset_v2_air_filter_003,dataset_v2_object_air_filter_003,data/images/dataset_v2/air_filter/dataset_v2_air_filter_003.jpg,filtration,air_filter,coil_spring,"This component is the suspension coil spring, with a helical steel spring with several visible coils.",MISMATCH,dataset_v2
train_dataset_v2_air_filter_003_match_2,dataset_v2_air_filter_003,external_group_dataset_v2_air_filter_003,dataset_v2_object_air_filter_003,data/images/dataset_v2/air_filter/dataset_v2_air_filter_003.jpg,filtration,air_filter,air_filter,Road-vehicle replacement part: engine air filter; its job is to remove dust and particles from the air entering the engine.,MATCH,dataset_v2
train_dataset_v2_air_filter_003_partial_match_2,dataset_v2_air_filter_003,external_group_dataset_v2_air_filter_003,dataset_v2_object_air_filter_003,data/images/dataset_v2/air_filter/dataset_v2_air_filter_003.jpg,filtration,air_filter,oil_filter,Road-vehicle replacement part: engine oil filter; its job is to trap contaminants circulating in the engine lubricant.,PARTIAL_MATCH,dataset_v2
train_dataset_v2_air_filter_003_mismatch_2,dataset_v2_air_filter_003,external_group_dataset_v2_air_filter_003,dataset_v2_object_air_filter_003,data/images/dataset_v2/air_filter/dataset_v2_air_filter_003.jpg,filtration,air_filter,alternator,Road-vehicle replacement part: automotive alternator; its job is to convert mechanical rotation into electrical power and recharge the battery.,MISMATCH,dataset_v2
train_dataset_v2_air_filter_004_match_1,dataset_v2_air_filter_004,external_group_dataset_v2_air_filter_004,dataset_v2_object_air_filter_004,data/images/dataset_v2/air_filter/dataset_v2_air_filter_004.jpg,filtration,air_filter,air_filter,Road-vehicle replacement part: engine air filter; its job is to remove dust and particles from the air entering the engine.,MATCH,dataset_v2
train_dataset_v2_air_filter_004_partial_match_1,dataset_v2_air_filter_004,external_group_dataset_v2_air_filter_004,dataset_v2_object_air_filter_004,data/images/dataset_v2/air_filter/dataset_v2_air_filter_004.jpg,filtration,air_filter,oil_filter,Road-vehicle replacement part: engine oil filter; its job is to trap contaminants circulating in the engine lubricant.,PARTIAL_MATCH,dataset_v2
train_dataset_v2_air_filter_004_mismatch_1,dataset_v2_air_filter_004,external_group_dataset_v2_air_filter_004,dataset_v2_object_air_filter_004,data/images/dataset_v2/air_filter/dataset_v2_air_filter_004.jpg,filtration,air_filter,headlight,Road-vehicle replacement part: front headlight assembly; its job is to illuminate the road ahead and make the vehicle visible from the front.,MISMATCH,dataset_v2
train_dataset_v2_air_filter_004_match_2,dataset_v2_air_filter_004,external_group_dataset_v2_air_filter_004,dataset_v2_object_air_filter_004,data/images/dataset_v2/air_filter/dataset_v2_air_filter_004.jpg,filtration,air_filter,air_filter,"Automotive component: engine air filter, used in the air-intake and filtration system.",MATCH,dataset_v2
train_dataset_v2_air_filter_004_partial_match_2,dataset_v2_air_filter_004,external_group_dataset_v2_air_filter_004,dataset_v2_object_air_filter_004,data/images/dataset_v2/air_filter/dataset_v2_air_filter_004.jpg,filtration,air_filter,oil_filter,"Automotive component: engine oil filter, used in the engine lubrication and filtration system.",PARTIAL_MATCH,dataset_v2
train_dataset_v2_air_filter_004_mismatch_2,dataset_v2_air_filter_004,external_group_dataset_v2_air_filter_004,dataset_v2_object_air_filter_004,data/images/dataset_v2/air_filter/dataset_v2_air_filter_004.jpg,filtration,air_filter,brake_disc,"Automotive component: brake disc or rotor, used in the disc-brake system.",MISMATCH,dataset_v2
