experiment_id,course_section,exercise_problem_number,exercise_problem_title,exercise_requirement,requirement_status,coverage_commitment,baseline_coverage,research_question,hypothesis,model_family,input_modalities,dataset_version,train_split,validation_split,test_split_allowed,test_split_path,final_test_evaluation_authorized,random_seed_policy,configuration_path,primary_metric,secondary_metrics,resource_tier,expected_outputs,execution_status,selection_eligible,result_summary,evidence_paths,prerequisites,safety_notes
FND-001,deep_learning_fundamentals,1,Load and inspect the dataset,"Inspect dimensions, grouped split composition, label balance, image values, text lengths, and representative examples.",required,PLANNED,EXISTING_EVIDENCE_EXTEND,What data properties and possible leakage risks must be understood before training?,"The committed integrated dataset is class-balanced by construction and group-isolated, while image and text distributions reveal category-specific variation.",exploratory_data_analysis,image | text,integrated_dataset_step_010_2,data/processed/integrated_train.csv,data/processed/integrated_validation.csv,false,,false,"primary seed 42; retained comparisons repeat seeds 42, 43, and 44",configs/course_coverage/experiments/FND-001.json,data_integrity_pass,class_balance | group_overlap | image_value_distribution | text_length_distribution,TIER_0,dataset profile JSON | EDA tables | representative example panel,PLANNED,false,,notebooks/course_coverage/01_fundamentals_experiments.ipynb | reports/course_coverage/fundamentals/FND-001/,,"Train and validation evidence only. | Do not load, inspect, score, or tune against the locked test split."
FND-002,deep_learning_fundamentals,2,Data loaders and batch inspection,"Build Keras datasets or NumPy inputs, inspect one batch, explain shapes, dtypes, labels, and shuffle policy.",required,PLANNED,EXISTING_EVIDENCE_EXTEND,Does the multimodal loader preserve image-text-label alignment and grouped split boundaries?,A deterministic loader with train-only shuffling will preserve aligned inputs and stable validation order.,data_pipeline,image | text,integrated_dataset_step_010_2,data/processed/integrated_train.csv,data/processed/integrated_validation.csv,false,,false,"primary seed 42; retained comparisons repeat seeds 42, 43, and 44",configs/course_coverage/experiments/FND-002.json,batch_contract_pass,batch_shape | dtype_checks | alignment_checks | determinism_checks,TIER_0,batch contract JSON | sample batch table | loader integrity report,PLANNED,false,,notebooks/course_coverage/01_fundamentals_experiments.ipynb | reports/course_coverage/fundamentals/FND-002/,,"Train and validation evidence only. | Do not load, inspect, score, or tune against the locked test split."
FND-003,deep_learning_fundamentals,3,Baseline neural model,"Create a one-hidden-layer neural baseline, inspect weights, and confirm that repeated updates reduce loss on a small batch.",required,PLANNED,PARTIAL_EXTENSION,Can a minimal multimodal or single-modality neural model learn a valid gradient signal?,A compact baseline will reduce small-batch loss and produce finite class probabilities before full training.,dense_neural_baseline,image | text,integrated_dataset_step_010_2,data/processed/integrated_train.csv,data/processed/integrated_validation.csv,false,,false,"primary seed 42; retained comparisons repeat seeds 42, 43, and 44",configs/course_coverage/experiments/FND-003.json,small_batch_loss_reduction,finite_loss | probability_sum_error | parameter_count,TIER_1,model summary | weight statistics | small-batch diagnostic curve,PLANNED,false,,notebooks/course_coverage/01_fundamentals_experiments.ipynb | reports/course_coverage/fundamentals/FND-003/,,"Train and validation evidence only. | Do not load, inspect, score, or tune against the locked test split."
FND-004,deep_learning_fundamentals,4,Overfit one batch,Overfit a deliberately small batch and plot loss and accuracy learning curves.,required,PLANNED,NEW_EXPERIMENT,"Can the selected architecture memorize a small aligned batch, ruling out major implementation defects?",A sufficiently expressive model will approach near-perfect batch accuracy and very low loss.,overfit_diagnostic,image | text,integrated_dataset_step_010_2,data/processed/integrated_train.csv,data/processed/integrated_validation.csv,false,,false,"primary seed 42; retained comparisons repeat seeds 42, 43, and 44",configs/course_coverage/experiments/FND-004.json,final_batch_accuracy,final_batch_loss | epochs_to_threshold | gradient_finiteness,TIER_1,overfit learning curves | threshold result JSON | diagnostic notes,PLANNED,false,,notebooks/course_coverage/01_fundamentals_experiments.ipynb | reports/course_coverage/fundamentals/FND-004/,,"Train and validation evidence only. | Do not load, inspect, score, or tune against the locked test split."
FND-005,deep_learning_fundamentals,5,Training and validation loop,"Run controlled training and validation epochs, save learning curves, and document selected loop-failure demonstrations.",required,PLANNED,EXISTING_EVIDENCE_EXTEND,Does the training loop update only from train data while validation remains evaluation-only?,A correct loop will lower train loss while producing deterministic validation metrics and no validation updates.,training_loop,image | text,integrated_dataset_step_010_2,data/processed/integrated_train.csv,data/processed/integrated_validation.csv,false,,false,"primary seed 42; retained comparisons repeat seeds 42, 43, and 44",configs/course_coverage/experiments/FND-005.json,validation_macro_f1,train_loss | validation_loss | validation_accuracy | generalization_gap,TIER_2,learning curves | loop state audit | controlled failure observations,PLANNED,true,,notebooks/course_coverage/01_fundamentals_experiments.ipynb | reports/course_coverage/fundamentals/FND-005/,,"Train and validation evidence only. | Do not load, inspect, score, or tune against the locked test split."
FND-006,deep_learning_fundamentals,6,Compare optimizers and learning rates,"Compare SGD, RMSprop, Adam, and AdamW across predefined learning rates; include schedule and early-stopping variants.",required,PLANNED,NEW_EXPERIMENT,Which optimizer and learning-rate policy gives the best validation performance and stability under a fixed architecture?,"Adaptive optimizers will converge faster on the compact dataset, while a controlled schedule may improve stability.",optimizer_comparison,image | text,integrated_dataset_step_010_2,data/processed/integrated_train.csv,data/processed/integrated_validation.csv,false,,false,"primary seed 42; retained comparisons repeat seeds 42, 43, and 44",configs/course_coverage/experiments/FND-006.json,validation_macro_f1,validation_accuracy | epochs_to_best | training_time_seconds | seed_std_macro_f1,TIER_2,optimizer comparison table | learning curves | timing report,PLANNED,true,,notebooks/course_coverage/01_fundamentals_experiments.ipynb | reports/course_coverage/fundamentals/FND-006/,,"Train and validation evidence only. | Do not load, inspect, score, or tune against the locked test split."
FND-007,deep_learning_fundamentals,7,Model capacity,"Compare small, medium, and large models, track probabilities and examples, and diagnose underfitting or overfitting.",required,PLANNED,PARTIAL_EXTENSION,"How much capacity is justified by validation performance, stability, and efficiency?",The medium model will provide a better accuracy-efficiency balance than the largest model on the available data.,capacity_comparison,image | text,integrated_dataset_step_010_2,data/processed/integrated_train.csv,data/processed/integrated_validation.csv,false,,false,"primary seed 42; retained comparisons repeat seeds 42, 43, and 44",configs/course_coverage/experiments/FND-007.json,validation_macro_f1,parameter_count | validation_accuracy | generalization_gap | training_time_seconds,TIER_2,capacity table | probability tracking examples | learning curves,PLANNED,true,,notebooks/course_coverage/01_fundamentals_experiments.ipynb | reports/course_coverage/fundamentals/FND-007/,,"Train and validation evidence only. | Do not load, inspect, score, or tune against the locked test split."
FND-008,deep_learning_fundamentals,8,Different architectures,"Compare regularization, batch normalization, learning-rate scheduling, skip connections, adapted pretrained features, and a convolutional alternative.",required,PLANNED,PARTIAL_EXTENSION,Which architecture-level techniques improve generalization without unnecessary complexity?,"Moderate regularization and normalization will help stability, while excessive complexity will not consistently improve Macro F1.",architecture_ablation,image | text,integrated_dataset_step_010_2,data/processed/integrated_train.csv,data/processed/integrated_validation.csv,false,,false,"primary seed 42; retained comparisons repeat seeds 42, 43, and 44",configs/course_coverage/experiments/FND-008.json,validation_macro_f1,parameter_count | validation_accuracy | generalization_gap | training_time_seconds,TIER_3,architecture ablation table | learning curves | selection rationale,PLANNED,true,,notebooks/course_coverage/01_fundamentals_experiments.ipynb | reports/course_coverage/fundamentals/FND-008/,,"Train and validation evidence only. | Do not load, inspect, score, or tune against the locked test split."
FND-009,deep_learning_fundamentals,9,Different preprocessing steps,"Compare justified image scaling, resolution, feature extraction, and text length or vocabulary preprocessing variants.",optional_but_committed,PLANNED,PARTIAL_EXTENSION,Which preprocessing choices improve signal quality without introducing leakage or unnecessary dimensionality?,Task-aligned normalization and moderate resolution will outperform unscaled or unnecessarily large inputs.,preprocessing_ablation,image | text,integrated_dataset_step_010_2,data/processed/integrated_train.csv,data/processed/integrated_validation.csv,false,,false,"primary seed 42; retained comparisons repeat seeds 42, 43, and 44",configs/course_coverage/experiments/FND-009.json,validation_macro_f1,validation_accuracy | input_dimension | training_time_seconds | memory_estimate_mb,TIER_2,preprocessing table | distribution plots | trade-off discussion,PLANNED,true,,notebooks/course_coverage/01_fundamentals_experiments.ipynb | reports/course_coverage/fundamentals/FND-009/,,"Train and validation evidence only. | Do not load, inspect, score, or tune against the locked test split."
FND-010,deep_learning_fundamentals,10,Break stuff intentionally,"Demonstrate failures from missing scaling, bad learning rates, excessive regularization, activation choice, misaligned labels, and vanishing gradients where feasible.",optional_but_committed,PLANNED,NEW_EXPERIMENT,Can common training failures be reproduced safely and detected through objective diagnostics?,"Each controlled fault will leave a distinct signature in loss, gradients, weights, timing, or alignment checks.",failure_diagnostics,image | text,integrated_dataset_step_010_2,data/processed/integrated_train.csv,data/processed/integrated_validation.csv,false,,false,"primary seed 42; retained comparisons repeat seeds 42, 43, and 44",configs/course_coverage/experiments/FND-010.json,failure_signature_detected,loss_finiteness | gradient_norm | weight_norm | training_time_seconds | alignment_check,TIER_1,failure signature table | diagnostic curves | prevention checklist,PLANNED,false,,notebooks/course_coverage/01_fundamentals_experiments.ipynb | reports/course_coverage/fundamentals/FND-010/,,Run only in isolated diagnostic configurations. | Never train on validation data and never access the locked test split. | Misaligned labels are generated in memory from train-only copies and are not committed.
SEQ-001,transformers_and_sequence_modelling,1,Load and inspect text data,"Inspect text features, lengths, vocabulary, label balance, and representative descriptions.",required,PLANNED,EXISTING_EVIDENCE_EXTEND,What linguistic patterns and sequence lengths characterize the automotive descriptions?,"Descriptions will be short and domain-specific, with category terms and compatibility cues carrying substantial signal.",text_eda,text,integrated_dataset_step_010_2,data/processed/integrated_train.csv,data/processed/integrated_validation.csv,false,,false,"primary seed 42; retained comparisons repeat seeds 42, 43, and 44",configs/course_coverage/experiments/SEQ-001.json,text_profile_complete,token_count_distribution | vocabulary_size | label_balance | oov_risk,TIER_0,text profile JSON | length plots | example table,PLANNED,false,,notebooks/course_coverage/02_sequence_model_comparison.ipynb | reports/course_coverage/sequence/SEQ-001/,,"Train and validation evidence only. | Do not load, inspect, score, or tune against the locked test split."
SEQ-002,transformers_and_sequence_modelling,2,Text dataset and data loader,Prepare a deterministic text dataset and loader with train-only fitting and stable validation transformation.,required,PLANNED,EXISTING_EVIDENCE_EXTEND,Does the text pipeline avoid validation vocabulary leakage and preserve grouped labels?,Train-only vocabulary fitting and deterministic validation batching will pass leakage and alignment checks.,text_data_pipeline,text,integrated_dataset_step_010_2,data/processed/integrated_train.csv,data/processed/integrated_validation.csv,false,,false,"primary seed 42; retained comparisons repeat seeds 42, 43, and 44",configs/course_coverage/experiments/SEQ-002.json,text_loader_contract_pass,alignment_checks | determinism_checks | vocabulary_leakage_checks,TIER_0,loader contract JSON | batch example | leakage audit,PLANNED,false,,notebooks/course_coverage/02_sequence_model_comparison.ipynb | reports/course_coverage/sequence/SEQ-002/,,"Train and validation evidence only. | Do not load, inspect, score, or tune against the locked test split."
SEQ-003,transformers_and_sequence_modelling,3,Tokenization,"Lowercase and tokenize descriptions, reserve pad and unknown tokens, and display raw text, tokens, IDs, and padded sequences.",required,PLANNED,EXISTING_EVIDENCE_EXTEND,Does an explicit tokenizer produce reproducible sequences suitable for fair architecture comparisons?,A train-fitted word tokenizer with explicit special tokens will provide stable bounded-length inputs.,tokenization,text,integrated_dataset_step_010_2,data/processed/integrated_train.csv,data/processed/integrated_validation.csv,false,,false,"primary seed 42; retained comparisons repeat seeds 42, 43, and 44",configs/course_coverage/experiments/SEQ-003.json,tokenization_contract_pass,vocabulary_size | oov_rate | truncation_rate | padding_rate,TIER_0,tokenization example table | vocabulary summary | sequence length report,PLANNED,false,,notebooks/course_coverage/02_sequence_model_comparison.ipynb | reports/course_coverage/sequence/SEQ-003/,,"Train and validation evidence only. | Do not load, inspect, score, or tune against the locked test split."
